ra,rc,T,px,py
200.0,400,0.977080905,420.0,727.4613391789284
200.0,400,0.976070425,420.0,727.4613391789284
200.0,425,0.974175139,420.0,727.4613391789284
200.0,450,0.969616384,420.0,727.4613391789284
200.0,475,0.965795711,420.0,727.4613391789284
200.0,500,0.964085942,420.0,727.4613391789284
200.0,300,0.948052378,420.0,727.4613391789284
200.0,325,0.958885622,420.0,727.4613391789284
200.0,350,0.968867962,420.0,727.4613391789284
200.0,375,0.975470123,420.0,727.4613391789284
200.0,400,0.977080905,420.0,727.4613391789284
200.0,600,0.990120706,420.0,727.4613391789284
200.0,650,0.998153297,420.0,727.4613391789284
200.0,700,0.992839977,420.0,727.4613391789284
200.0,750,0.98624142,420.0,727.4613391789284
225.0,300,0.95931547,472.5,818.3940065762945
225.0,325,0.96510061,472.5,818.3940065762945
225.0,350,0.969905003,472.5,818.3940065762945
225.0,375,0.973212713,472.5,818.3940065762945
225.0,400,0.975368073,472.5,818.3940065762945
225.0,400,0.977212755,472.5,818.3940065762945
225.0,425,0.978388453,472.5,818.3940065762945
225.0,450,0.979678514,472.5,818.3940065762945
225.0,475,0.981837475,472.5,818.3940065762945
225.0,500,0.985037186,472.5,818.3940065762945
225.0,300,0.95931547,472.5,818.3940065762945
225.0,325,0.96510061,472.5,818.3940065762945
225.0,350,0.969905003,472.5,818.3940065762945
225.0,375,0.973212713,472.5,818.3940065762945
225.0,400,0.975368073,472.5,818.3940065762945
250.0,300,0.9709146,525.0,909.3266739736605
250.0,325,0.972089414,525.0,909.3266739736605
250.0,350,0.972828118,525.0,909.3266739736605
250.0,375,0.973481566,525.0,909.3266739736605
250.0,400,0.974395097,525.0,909.3266739736605
250.0,400,0.974395097,525.0,909.3266739736605
250.0,450,0.978259343,525.0,909.3266739736605
250.0,500,0.984992864,525.0,909.3266739736605
250.0,550,0.988931521,525.0,909.3266739736605
250.0,600,0.983174668,525.0,909.3266739736605
250.0,400,0.973027467,525.0,909.3266739736605
250.0,425,0.974225377,525.0,909.3266739736605
250.0,450,0.976450226,525.0,909.3266739736605
250.0,475,0.979597273,525.0,909.3266739736605
250.0,500,0.98352623,525.0,909.3266739736605
250.0,300,0.9709146,525.0,909.3266739736605
250.0,325,0.972089414,525.0,909.3266739736605
250.0,350,0.972828118,525.0,909.3266739736605
250.0,375,0.973481566,525.0,909.3266739736605
250.0,400,0.974395097,525.0,909.3266739736605
250.0,600,0.98438,525.0,909.3266739736605
250.0,650,0.97476,525.0,909.3266739736605
275.0,300,0.971707816,577.5,1000.2593413710266
275.0,325,0.970498031,577.5,1000.2593413710266
275.0,350,0.969775584,577.5,1000.2593413710266
275.0,400,0.971585193,577.5,1000.2593413710266
275.0,450,0.977058658,577.5,1000.2593413710266
275.0,500,0.981599776,577.5,1000.2593413710266
275.0,550,0.980675858,577.5,1000.2593413710266
275.0,600,0.977195772,577.5,1000.2593413710266
275.0,400,0.969157962,577.5,1000.2593413710266
275.0,425,0.971877329,577.5,1000.2593413710266
275.0,450,0.975820925,577.5,1000.2593413710266
275.0,475,0.979535085,577.5,1000.2593413710266
275.0,500,0.98251376,577.5,1000.2593413710266
275.0,300,0.971707816,577.5,1000.2593413710266
275.0,325,0.970498031,577.5,1000.2593413710266
275.0,350,0.969775584,577.5,1000.2593413710266
300.0,400,0.968399158,630.0,1091.1920087683927
300.0,450,0.973095674,630.0,1091.1920087683927
300.0,500,0.976051944,630.0,1091.1920087683927
300.0,550,0.977834914,630.0,1091.1920087683927
300.0,600,0.983355262,630.0,1091.1920087683927
300.0,400,0.966476671,630.0,1091.1920087683927
300.0,425,0.970299261,630.0,1091.1920087683927
300.0,450,0.973824633,630.0,1091.1920087683927
300.0,475,0.976325259,630.0,1091.1920087683927
300.0,500,0.978142757,630.0,1091.1920087683927
300.0,300,0.968167582,630.0,1091.1920087683927
300.0,325,0.965350793,630.0,1091.1920087683927
300.0,350,0.963908417,630.0,1091.1920087683927
300.0,375,0.964509885,630.0,1091.1920087683927
325.0,400,0.963190384,682.5,1182.1246761657587
325.0,450,0.968961497,682.5,1182.1246761657587
325.0,500,0.975193672,682.5,1182.1246761657587
325.0,550,0.982978069,682.5,1182.1246761657587
325.0,600,0.991139341,682.5,1182.1246761657587
325.0,300,0.961304073,682.5,1182.1246761657587
325.0,325,0.95891937,682.5,1182.1246761657587
325.0,350,0.958176367,682.5,1182.1246761657587
325.0,375,0.959387454,682.5,1182.1246761657587
350.0,400,0.956387823,735.0,1273.0573435631247
350.0,450,0.983192573,735.0,1273.0573435631247
350.0,500,0.998270537,735.0,1273.0573435631247
350.0,550,0.998254391,735.0,1273.0573435631247
350.0,600,0.990425463,735.0,1273.0573435631247
350.0,300,0.931355447,735.0,1273.0573435631247
350.0,325,0.932854366,735.0,1273.0573435631247
350.0,350,0.937368762,735.0,1273.0573435631247
350.0,375,0.944495083,735.0,1273.0573435631247
150.0,550,0.97815,315.0,545.5960043841964
175.0,550,0.97521,367.5,636.5286717815624
200.0,550,0.97369,420.0,727.4613391789284
225.0,550,0.99255,472.5,818.3940065762945
225.0,650,0.98583,472.5,818.3940065762945
150.0,400,0.994600526,315.0,545.5960043841964
150.0,450,0.996413105,315.0,545.5960043841964
150.0,500,0.985054064,315.0,545.5960043841964
150.0,550,0.978148159,315.0,545.5960043841964
150.0,600,0.984917351,315.0,545.5960043841964
200.0,400,0.975990321,420.0,727.4613391789284
200.0,450,0.969890713,420.0,727.4613391789284
200.0,500,0.964090838,420.0,727.4613391789284
200.0,550,0.973687806,420.0,727.4613391789284
200.0,600,0.990130622,420.0,727.4613391789284
250.0,400,0.973027407,525.0,909.3266739736605
250.0,450,0.976405129,525.0,909.3266739736605
250.0,500,0.98353723,525.0,909.3266739736605
250.0,550,0.988672967,525.0,909.3266739736605
250.0,600,0.984377146,525.0,909.3266739736605
300.0,400,0.966468012,630.0,1091.1920087683927
300.0,450,0.973830696,630.0,1091.1920087683927
300.0,500,0.978142975,630.0,1091.1920087683927
300.0,550,0.979780435,630.0,1091.1920087683927
300.0,600,0.984047206,630.0,1091.1920087683927
225.0,350,0.968866432,472.5,818.3940065762945
225.0,375,0.972285335,472.5,818.3940065762945
225.0,400,0.974404377,472.5,818.3940065762945
225.0,425,0.976057758,472.5,818.3940065762945
225.0,450,0.978073944,472.5,818.3940065762945
225.0,475,0.981165639,472.5,818.3940065762945
225.0,500,0.985308573,472.5,818.3940065762945
225.0,525,0.989903913,472.5,818.3940065762945
225.0,550,0.993871189,472.5,818.3940065762945
225.0,575,0.995929258,472.5,818.3940065762945
225.0,600,0.995130258,472.5,818.3940065762945
225.0,625,0.991256967,472.5,818.3940065762945
225.0,650,0.985152114,472.5,818.3940065762945
225.0,675,0.978560556,472.5,818.3940065762945
225.0,700,0.973506816,472.5,818.3940065762945
225.0,725,0.9715399,472.5,818.3940065762945
225.0,750,0.97341214,472.5,818.3940065762945
225.0,775,0.978543427,472.5,818.3940065762945
225.0,800,0.985474018,472.5,818.3940065762945
250.0,350,0.972686482,525.0,909.3266739736605
250.0,375,0.974046024,525.0,909.3266739736605
250.0,400,0.975472745,525.0,909.3266739736605
250.0,425,0.977340529,525.0,909.3266739736605
250.0,450,0.979723775,525.0,909.3266739736605
250.0,475,0.982692233,525.0,909.3266739736605
250.0,500,0.985739669,525.0,909.3266739736605
250.0,525,0.988100027,525.0,909.3266739736605
250.0,550,0.988732717,525.0,909.3266739736605
250.0,575,0.986809348,525.0,909.3266739736605
250.0,600,0.982398109,525.0,909.3266739736605
250.0,625,0.976687462,525.0,909.3266739736605
250.0,650,0.971816967,525.0,909.3266739736605
250.0,675,0.969704155,525.0,909.3266739736605
250.0,700,0.971632575,525.0,909.3266739736605
250.0,725,0.977237817,525.0,909.3266739736605
250.0,750,0.984884249,525.0,909.3266739736605
250.0,775,0.992251605,525.0,909.3266739736605
250.0,800,0.997144086,525.0,909.3266739736605
275.0,350,0.970784081,577.5,1000.2593413710266
275.0,375,0.971494897,577.5,1000.2593413710266
275.0,400,0.973110624,577.5,1000.2593413710266
275.0,425,0.975322129,577.5,1000.2593413710266
275.0,450,0.977809291,577.5,1000.2593413710266
275.0,475,0.979935697,577.5,1000.2593413710266
275.0,500,0.981160869,577.5,1000.2593413710266
275.0,525,0.980992126,577.5,1000.2593413710266
275.0,550,0.979422155,577.5,1000.2593413710266
275.0,575,0.97727466,577.5,1000.2593413710266
275.0,600,0.975865342,577.5,1000.2593413710266
275.0,625,0.976648477,577.5,1000.2593413710266
275.0,650,0.980023077,577.5,1000.2593413710266
275.0,675,0.985332445,577.5,1000.2593413710266
275.0,700,0.991301726,577.5,1000.2593413710266
275.0,725,0.996490641,577.5,1000.2593413710266
275.0,750,0.999415502,577.5,1000.2593413710266
275.0,775,0.999046978,577.5,1000.2593413710266
275.0,800,0.995041008,577.5,1000.2593413710266
300.0,350,0.967032728,630.0,1091.1920087683927
300.0,375,0.967583377,630.0,1091.1920087683927
300.0,400,0.969071164,630.0,1091.1920087683927
300.0,425,0.970984055,630.0,1091.1920087683927
300.0,450,0.972858629,630.0,1091.1920087683927
300.0,475,0.974263977,630.0,1091.1920087683927
300.0,500,0.975041705,630.0,1091.1920087683927
300.0,525,0.975639698,630.0,1091.1920087683927
300.0,550,0.9767608,630.0,1091.1920087683927
300.0,575,0.979196457,630.0,1091.1920087683927
300.0,600,0.983022314,630.0,1091.1920087683927
300.0,625,0.987686556,630.0,1091.1920087683927
300.0,650,0.992512752,630.0,1091.1920087683927
300.0,675,0.996706657,630.0,1091.1920087683927
300.0,700,0.999398782,630.0,1091.1920087683927
300.0,725,0.999642658,630.0,1091.1920087683927
300.0,750,0.996736108,630.0,1091.1920087683927
300.0,775,0.990674912,630.0,1091.1920087683927
300.0,800,0.982553629,630.0,1091.1920087683927
325.0,350,0.960988131,682.5,1182.1246761657587
325.0,375,0.96173622,682.5,1182.1246761657587
325.0,400,0.963391143,682.5,1182.1246761657587
325.0,425,0.965545457,682.5,1182.1246761657587
325.0,450,0.967954939,682.5,1182.1246761657587
325.0,475,0.970572374,682.5,1182.1246761657587
325.0,500,0.973766262,682.5,1182.1246761657587
325.0,525,0.977746906,682.5,1182.1246761657587
325.0,550,0.982352805,682.5,1182.1246761657587
325.0,575,0.987108597,682.5,1182.1246761657587
325.0,600,0.99145803,682.5,1182.1246761657587
325.0,625,0.995110526,682.5,1182.1246761657587
325.0,650,0.997660404,682.5,1182.1246761657587
325.0,675,0.998579815,682.5,1182.1246761657587
325.0,700,0.997274047,682.5,1182.1246761657587
325.0,725,0.993395151,682.5,1182.1246761657587
325.0,750,0.987263678,682.5,1182.1246761657587
325.0,775,0.980069756,682.5,1182.1246761657587
325.0,800,0.973674063,682.5,1182.1246761657587
350.0,350,0.937501444,735.0,1273.0573435631247
350.0,375,0.944904773,735.0,1273.0573435631247
350.0,400,0.955919258,735.0,1273.0573435631247
350.0,425,0.969482866,735.0,1273.0573435631247
350.0,450,0.982771811,735.0,1273.0573435631247
350.0,475,0.992740178,735.0,1273.0573435631247
350.0,500,0.998177217,735.0,1273.0573435631247
350.0,525,0.999723436,735.0,1273.0573435631247
350.0,550,0.998465623,735.0,1273.0573435631247
350.0,575,0.995229274,735.0,1273.0573435631247
350.0,600,0.990325552,735.0,1273.0573435631247
350.0,625,0.983730547,735.0,1273.0573435631247
350.0,650,0.975476672,735.0,1273.0573435631247
350.0,675,0.966174172,735.0,1273.0573435631247
350.0,700,0.957194246,735.0,1273.0573435631247
350.0,725,0.951208937,735.0,1273.0573435631247
350.0,750,0.950491969,735.0,1273.0573435631247
350.0,775,0.955587033,735.0,1273.0573435631247
350.0,800,0.965232868,735.0,1273.0573435631247
150.0,525,0.979690629,315.0,545.5960043841964
150.0,550,0.977896206,315.0,545.5960043841964
150.0,575,0.979906589,315.0,545.5960043841964
150.0,600,0.984952136,315.0,545.5960043841964
150.0,625,0.991326695,315.0,545.5960043841964
150.0,650,0.996827504,315.0,545.5960043841964
150.0,675,0.999762726,315.0,545.5960043841964
150.0,700,0.999343813,315.0,545.5960043841964
150.0,725,0.996035663,315.0,545.5960043841964
150.0,750,0.991320264,315.0,545.5960043841964
150.0,775,0.987072887,315.0,545.5960043841964
150.0,800,0.984746812,315.0,545.5960043841964
175.0,525,0.972726656,367.5,636.5286717815624
175.0,550,0.974783339,367.5,636.5286717815624
175.0,575,0.980589481,367.5,636.5286717815624
175.0,600,0.988154004,367.5,636.5286717815624
175.0,625,0.994978025,367.5,636.5286717815624
175.0,650,0.998927583,367.5,636.5286717815624
175.0,675,0.998967999,367.5,636.5286717815624
175.0,700,0.995592229,367.5,636.5286717815624
175.0,725,0.990538872,367.5,636.5286717815624
175.0,750,0.985963434,367.5,636.5286717815624
175.0,775,0.983602235,367.5,636.5286717815624
175.0,800,0.984291397,367.5,636.5286717815624
200.0,525,0.96592396,420.0,727.4613391789284
200.0,550,0.973126367,420.0,727.4613391789284
200.0,575,0.982404918,420.0,727.4613391789284
200.0,600,0.991078755,420.0,727.4613391789284
200.0,625,0.996815118,420.0,727.4613391789284
200.0,650,0.998422746,420.0,727.4613391789284
200.0,675,0.996282548,420.0,727.4613391789284
200.0,700,0.992028106,420.0,727.4613391789284
200.0,725,0.987807672,420.0,727.4613391789284
200.0,750,0.985423473,420.0,727.4613391789284
200.0,775,0.985758118,420.0,727.4613391789284
200.0,800,0.988622592,420.0,727.4613391789284
125.0,300,0.96692707,262.5,454.66333698683025
125.0,325,0.969429399,262.5,454.66333698683025
125.0,350,0.976272707,262.5,454.66333698683025
125.0,375,0.985219734,262.5,454.66333698683025
125.0,400,0.993566351,262.5,454.66333698683025
125.0,425,0.998747214,262.5,454.66333698683025
125.0,450,0.999492596,262.5,454.66333698683025
125.0,475,0.996073479,262.5,454.66333698683025
125.0,500,0.990175799,262.5,454.66333698683025
125.0,525,0.984135154,262.5,454.66333698683025
125.0,550,0.980105247,262.5,454.66333698683025
125.0,575,0.979298624,262.5,454.66333698683025
125.0,600,0.981931605,262.5,454.66333698683025
125.0,625,0.987024025,262.5,454.66333698683025
125.0,650,0.99286251,262.5,454.66333698683025
125.0,675,0.997566194,262.5,454.66333698683025
125.0,700,0.999627136,262.5,454.66333698683025
125.0,725,0.998592223,262.5,454.66333698683025
125.0,750,0.995048075,262.5,454.66333698683025
125.0,775,0.990430018,262.5,454.66333698683025
125.0,800,0.986446481,262.5,454.66333698683025
125.0,300,0.96692707,262.5,454.66333698683025
125.0,325,0.969429399,262.5,454.66333698683025
125.0,350,0.976272707,262.5,454.66333698683025
125.0,375,0.985219734,262.5,454.66333698683025
125.0,400,0.993566351,262.5,454.66333698683025
125.0,425,0.998747214,262.5,454.66333698683025
125.0,450,0.999492596,262.5,454.66333698683025
125.0,475,0.996073479,262.5,454.66333698683025
125.0,500,0.990175799,262.5,454.66333698683025
125.0,525,0.984135154,262.5,454.66333698683025
125.0,550,0.980105247,262.5,454.66333698683025
125.0,575,0.979298624,262.5,454.66333698683025
125.0,600,0.981931605,262.5,454.66333698683025
125.0,625,0.987024025,262.5,454.66333698683025
125.0,650,0.99286251,262.5,454.66333698683025
125.0,675,0.997566194,262.5,454.66333698683025
125.0,700,0.999627136,262.5,454.66333698683025
125.0,725,0.998592223,262.5,454.66333698683025
125.0,750,0.995048075,262.5,454.66333698683025
125.0,775,0.990430018,262.5,454.66333698683025
125.0,800,0.986446481,262.5,454.66333698683025
375.0,850,0.999691308,787.5,1363.9900109604907
350.0,300,0.931754239,735.0,1273.0573435631247
350.0,350,0.937501444,735.0,1273.0573435631247
350.0,400,0.955919258,735.0,1273.0573435631247
350.0,450,0.982771811,735.0,1273.0573435631247
350.0,500,0.998177217,735.0,1273.0573435631247
350.0,550,0.998465623,735.0,1273.0573435631247
350.0,600,0.990325552,735.0,1273.0573435631247
350.0,650,0.975476672,735.0,1273.0573435631247
350.0,700,0.957194246,735.0,1273.0573435631247
350.0,750,0.950491969,735.0,1273.0573435631247
350.0,800,0.965261107,735.0,1273.0573435631247
375.0,900,0.993052853,787.5,1363.9900109604907
375.0,300,0.949049002,787.5,1363.9900109604907
375.0,350,0.943890865,787.5,1363.9900109604907
375.0,400,0.945602523,787.5,1363.9900109604907
375.0,450,0.955032696,787.5,1363.9900109604907
375.0,500,0.969295526,787.5,1363.9900109604907
375.0,550,0.980836413,787.5,1363.9900109604907
375.0,600,0.988451726,787.5,1363.9900109604907
375.0,650,0.991887709,787.5,1363.9900109604907
375.0,700,0.991687952,787.5,1363.9900109604907
375.0,750,0.993444441,787.5,1363.9900109604907
375.0,800,0.998292324,787.5,1363.9900109604907
400.0,825,0.507502828,840.0,1454.9226783578567
400.0,850,0.586907626,840.0,1454.9226783578567
400.0,875,0.682564548,840.0,1454.9226783578567
400.0,900,0.771135362,840.0,1454.9226783578567
400.0,300,0.844290056,840.0,1454.9226783578567
400.0,350,0.677441381,840.0,1454.9226783578567
400.0,400,0.7578947,840.0,1454.9226783578567
400.0,450,0.90647053,840.0,1454.9226783578567
400.0,500,0.893568532,840.0,1454.9226783578567
400.0,550,0.802255244,840.0,1454.9226783578567
400.0,600,0.808092157,840.0,1454.9226783578567
400.0,650,0.892276517,840.0,1454.9226783578567
400.0,700,0.809365795,840.0,1454.9226783578567
400.0,750,0.583624893,840.0,1454.9226783578567
400.0,800,0.468827269,840.0,1454.9226783578567
425.0,825,0.868762879,892.5,1545.855345755223
425.0,850,0.909435445,892.5,1545.855345755223
425.0,875,0.941899293,892.5,1545.855345755223
425.0,900,0.96496312,892.5,1545.855345755223
425.0,300,0.95938761,892.5,1545.855345755223
425.0,350,0.91876851,892.5,1545.855345755223
425.0,400,0.864979649,892.5,1545.855345755223
425.0,450,0.648947134,892.5,1545.855345755223
425.0,500,0.838121871,892.5,1545.855345755223
425.0,550,0.991996881,892.5,1545.855345755223
425.0,600,0.990237418,892.5,1545.855345755223
425.0,650,0.966807694,892.5,1545.855345755223
425.0,700,0.897786762,892.5,1545.855345755223
425.0,750,0.806393201,892.5,1545.855345755223
425.0,800,0.826644621,892.5,1545.855345755223
450.0,825,0.856115189,945.0,1636.788013152589
450.0,850,0.874622996,945.0,1636.788013152589
450.0,875,0.875855325,945.0,1636.788013152589
450.0,900,0.858593995,945.0,1636.788013152589
450.0,300,0.888881696,945.0,1636.788013152589
450.0,350,0.728158127,945.0,1636.788013152589
450.0,400,0.977031777,945.0,1636.788013152589
450.0,450,0.937604382,945.0,1636.788013152589
450.0,500,0.746166157,945.0,1636.788013152589
450.0,550,0.761617114,945.0,1636.788013152589
450.0,600,0.890931456,945.0,1636.788013152589
450.0,650,0.721216225,945.0,1636.788013152589
450.0,700,0.515861456,945.0,1636.788013152589
450.0,750,0.671908437,945.0,1636.788013152589
450.0,800,0.81856085,945.0,1636.788013152589
475.0,825,0.887674654,997.5,1727.720680549955
475.0,850,0.907173933,997.5,1727.720680549955
475.0,875,0.916970485,997.5,1727.720680549955
475.0,900,0.910483375,997.5,1727.720680549955
500.0,825,0.033006818,1050.0,1818.653347947321
500.0,850,0.446066548,1050.0,1818.653347947321
500.0,875,0.804291398,1050.0,1818.653347947321
500.0,900,0.925383827,1050.0,1818.653347947321
500.0,300,0.918278709,1050.0,1818.653347947321
500.0,350,0.868540748,1050.0,1818.653347947321
500.0,400,0.763956572,1050.0,1818.653347947321
500.0,450,0.694369581,1050.0,1818.653347947321
500.0,500,0.7344259,1050.0,1818.653347947321
500.0,550,0.940292272,1050.0,1818.653347947321
500.0,600,0.810885595,1050.0,1818.653347947321
500.0,650,0.657771956,1050.0,1818.653347947321
500.0,700,0.499443678,1050.0,1818.653347947321
500.0,750,0.350304034,1050.0,1818.653347947321
500.0,800,0.079275289,1050.0,1818.653347947321
